year,annual_avg_index,inflation_rate_pct,deflator_to_latest
2000,172.2,3.36,1.8696
2001,177.1,2.85,1.8179
2002,179.9,1.58,1.7896
2003,184.0,2.28,1.7497
2004,188.9,2.66,1.7043
2005,195.3,3.39,1.6485
2006,201.6,3.23,1.5969
2007,207.342,2.85,1.5527
2008,215.303,3.84,1.4953
2009,214.537,-0.36,1.5006
2010,218.056,1.64,1.4764
2011,224.939,3.16,1.4312
2012,229.594,2.07,1.4022
2013,232.957,1.46,1.382
2014,236.736,1.62,1.3599
2015,237.017,0.12,1.3583
2016,240.007,1.26,1.3414
2017,245.12,2.13,1.3134
2018,251.107,2.44,1.2821
2019,255.657,1.81,1.2593
2020,258.811,1.23,1.2439
2021,270.97,4.7,1.1881
2022,292.655,8.0,1.1001
2023,304.702,4.12,1.0566
2024,313.689,2.95,1.0263
2025,321.943,2.63,1.0
