Site Code,Hearing Office,Hearing Office Times in Months
T1P,AKRON OH,7.0
X37,ALBANY,10.0
X12,ALBUQUERQUE,9.0
X14,ALEXANDRIA,8.0
Y13,ATLANTA DOWNTOWN,7.0
X83,ATLANTA NORTH,8.0
T21,BALTIMORE,8.0
X60,BILLINGS,9.0
X77,BIRMINGHAM,8.0
T24,BOSTON,9.0
X36,BRONX,9.0
X34,BUFFALO,10.0
Y18,CHARLESTON SC,7.0
Y09,CHARLESTON WV,7.0
T27,CHARLOTTE,7.0
X39,CHARLOTTESVILLE,7.0
X49,CHATTANOOGA,7.0
Y26,CHICAGO,8.0
Y27,CINCINNATI,7.0
X85,CLEVELAND,7.0
T75,COLORADO SPRINGS,9.0
T2F,COLUMBIA MO,7.0
T22,COLUMBIA SC,7.0
X09,COLUMBUS,8.0
T1I,COVINGTON GA,8.0
Y33,DALLAS DOWNTOWN,7.0
T18,DALLAS NORTH OHO,8.0
Y31,DAYTON,9.0
X17,DENVER,8.0
X16,DES MOINES,7.0
T17,DETROIT,8.0
T40,DOVER,7.5
T26,ELKINS PARK,8.0
X99,EUGENE,8.0
Y30,EVANSTON,7.0
X84,EVANSVILLE,7.0
T20,FARGO,6.0
T1L,FAYETTEVILLE NC,8.5
X86,FLINT,9.0
X50,FLORENCE,6.5
T1Z,FORT MYERS FL,6.0
X55,FORT SMITH,8.0
X53,FORT WAYNE,7.0
X81,FORT WORTH,8.0
T2H,FRANKLIN TN,6.5
X18,FRESNO,10.0
X07,FT LAUDERDALE,7.0
Y28,GRAND RAPIDS,6.5
Y20,GREENSBORO,7.0
X48,GREENVILLE,7.0
Y10,HARRISBURG,8.0
X68,HARTFORD,8.0
X79,HATTIESBURG,7.5
Y63,HONOLULU,7.0
R38,HOUSTON NORTH,6.0
Y34,HOUSTON WEST,7.0
X04,HUNTINGTON WV,8.0
Y29,INDIANAPOLIS,6.5
Y19,JACKSON MS OHO,6.0
X41,JACKSONVILLE,8.0
T2E,JERSEY CITY,8.0
Y08,JOHNSTOWN,7.5
X59,KANSAS CITY,7.0
T23,KINGSPORT,6.0
X51,KNOXVILLE,7.0
X52,LANSING,7.0
X71,LAS VEGAS,11.0
T2I,LAWRENCE MA,10.0
X74,LEXINGTON,6.5
X13,LITTLE ROCK,7.0
T1Q,LIVONIA MI,6.5
X62,LONG BEACH,8.0
X70,LONG ISLAND,9.5
T29,LOS ANGELES DOWNTOWN,9.0
T30,LOS ANGELES WEST,9.0
X80,LOUISVILLE,7.0
X05,MACON,7.0
R30,MADISON,8.0
Y06,MANCHESTER,9.0
X87,MCALESTER,10.0
Y15,MEMPHIS,7.0
R62,METAIRIE,7.0
X75,MIAMI OHO,7.0
X47,MIDDLESBORO,7.0
X10,MILWAUKEE,9.0
Y24,MINNEAPOLIS,7.0
X78,MOBILE,6.5
X42,MONTGOMERY,6.0
X0W,MORENO VALLEY,9.0
R95,MORGANTOWN,7.5
T1N,MT PLEASANT MI,7.0
Y14,NASHVILLE,7.0
Y05,NEW HAVEN,8.0
Y32,NEW ORLEANS,7.0
X82,NEW YORK,10.0
X69,NEW YORK VARICK,9.0
X01,NEWARK,9.0
T0H,NHC ALBUQUERQUE,10.0
T0T,NHC BALTIMORE,9.0
T0Q,NHC CHICAGO,8.0
T0D,NHC FALLS CHURCH,10.0
T1U,NHC ST LOUIS,9.0
X40,NORFOLK,8.5
Y35,NORWALK,8.0
X08,OAK BROOK,7.0
X54,OAK PARK,7.0
X97,OAKLAND,8.0
X56,OKLAHOMA CITY,9.5
X15,OMAHA,7.0
X98,ORANGE,10.0
Y25,ORLAND PARK,7.5
Y21,ORLANDO,8.0
Y23,PADUCAH,6.0
X61,PASADENA,8.0
X11,PEORIA,7.0
Y11,PHILADELPHIA,10.0
R56,PHILADELPHIA EAST,8.0
X65,PHOENIX DOWNTOWN,8.0
T1R,PHOENIX NORTH,11.0
Y12,PITTSBURGH,8.0
X33,PORTLAND ME,8.0
T28,PORTLAND OR,8.0
Y04,PROVIDENCE,7.5
X35,QUEENS,8.0
X43,RALEIGH,8.0
T2G,RENO,8.0
X72,RICHMOND,8.5
T1Y,RIO GRANDE VALLEY TX,7.0
X38,ROANOKE,8.0
Y77,ROCHESTER,11.0
X63,SACRAMENTO,8.0
X92,SALT LAKE CITY,8.0
X88,SAN ANTONIO,7.0
T25,SAN BERNARDINO,8.0
X19,SAN DIEGO,9.0
X64,SAN FRANCISCO,8.0
Y36,SAN JOSE,8.5
Y60,SAN JUAN,11.0
X96,SAN RAFAEL,7.0
Y37,SANTA BARBARA,8.0
Y22,SAVANNAH,7.0
Y38,SEATTLE,10.0
T0B,SEVEN FIELDS,7.5
X57,SHREVEPORT,9.0
T16,SOUTH JERSEY,8.5
5ZU,SPECIAL REVIEW CADRE,21.0
Y03,SPOKANE,10.0
X67,SPRINGFIELD MA,12.0
X90,SPRINGFIELD MO,7.0
X58,ST LOUIS,7.0
T1K,ST PETERSBURG FL OHO,7.0
R73,STOCKTON,7.0
X02,SYRACUSE,8.0
T1H,TACOMA,10.5
T1J,TALLAHASSEE FL OHO,7.0
X06,TAMPA OHO,7.0
T1X,TOLEDO OH,7.0
T1M,TOPEKA KS,7.0
X66,TUCSON,7.5
X89,TULSA OHO,7.0
Y49,TUPELO,7.0
T1W,VALPARAISO IN,7.0
X73,WASHINGTON,8.0
X91,WICHITA,7.0
X03,WILKES BARRE,8.0
